Deputāts/e,Frakcija,Dzimums,Dzimšanas gads,Dzīvesvieta,Izglitība,Politiska partija,Ievelēts/-a no saraksta,Mandāta statuss,Darbība 13.Saeimā,E-pasta adrese
"Kronbergs, Edgars",KPV LV,V,1983,"Saldus novads, Šķēdes pagasts","Dabaszinātņu bakalaura grāds (Latvijas Universitāte, 2007)",Par cilvēcīgu Latviju,KPV LV,"Apstiprināts uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no partijas “KPV LV” Kurzemes vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/C5D17E5A452413C4C22583320029E3B8?OpenDocument&lang=LV,Edgars.Kronbergs@saeima.lv
"Kucins, Edgars",Saskaņa,V,1973,"Daugavpils novads, Naujenes pagasts","Fiziskā audzināšana un ārstnieciskā fiziskā kultūra (Daugavpils pedagoģiskā universitāte, 1996)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/B4B0F7ADBB8043BCC22583320029E3CD?OpenDocument&lang=LV,Edgars.Kucins@saeima.lv
"Kučinskis, Māris",Zaļo un Zemnieku Savienība,V,1961,"Strenču novads, Jercēnu pagasts","Ekonomists (Latvijas Valsts Universitāte, 1988); Vispārējā (Valmieras 4. vidusskola, 1980)",Liepājas partija,Zaļo un Zemnieku Savienība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=29FABE476CCC27EEC22583320029E60B&url=./0/29FABE476CCC27EEC22583320029E60B?OpenDocument&lang=LV,Maris.Kucinskis@saeima.lv
"Kursīte-Pakule, Janīna",Nacionāla Apvienība VL-TB/LNNK,S,1952,Rīga,"Filoloģijas zinātņu doktore (Latvijas Universitāte, 1993); Filologs (Latvijas Universitāte, 1976)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=AD90D8A3E779103AC22583320029E3A4&url=./0/AD90D8A3E779103AC22583320029E3A4?OpenDocument&lang=LV,Janina.Kursite-Pakule@saeima.lv
"Kursīte, Janīna",KPV LV,S,1964,"Daugavpils novads, Višķu pagasts","Pedagoģija un psiholoģija (Daugavpils Universitāte, 2002); Dārzkopība (Latvijas Lauksaimniecības akadēmija, 1993); Dārzkopība (Bulduru sovhoztehnikums, 1983)",Par cilvēcīgu Latviju,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=0A7B729762AD91CDC22583320029E422&url=./0/0A7B729762AD91CDC22583320029E422?OpenDocument&lang=LV,Janina.Kursite@saeima.lv
"Latkovskis, Ainars",Jaunā Vienotība,V,1967,Sigulda,"Starptautiskās attiecības, Maģistrs grāds (Džordža Vašingtona Universitāte (Vašingtona, ASV), 1995); Vēsture (Latvijas Universitāte, 1993)",Vienotība,Jaunā Vienotība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=A8C08A2980030E40C22583320029E5B5&url=./0/A8C08A2980030E40C22583320029E5B5?OpenDocument&lang=LV,ainars.latkovskis@saeima.lv
"Lejiņš, Atis",Jaunā Vienotība,V,1942,Rīga,"Goda doktors, Dr.cs.pol.h.c (Latvijas Zinātņu akadēmija, 2004); Goda doktors (Zviedrijas Karaliskā akadēmija, 1995); Maģistra grāds modernās Eiropas vēsturē un politikas zinātnē (Kalifornijas Universitāte (Losandželosā), 1968)",Vienotība,Jaunā Vienotība,"Apstiprināts uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no partijas Jaunā VIENOTĪBA Zemgales vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=34DB44B91C0CEE13C22583320029E646&url=./0/34DB44B91C0CEE13C22583320029E646?OpenDocument&lang=LV,Atis.Lejins@saeima.lv
"Lībiņa-Egnere, Inese",Jaunā Vienotība,S,1977,Rīga,"Tiesību doktora zinātniskais grāds (Dr.iur.) (Latvijas Universitātes Juridiskā fakultāte, 2007); LL.M. grāds (Legum Magister) iegūts ar izcilību (Alberta-Ludviga-Universitātes Juridiskā fakultāte, 2002); Jurista kvalifikācija (Latvijas Universitātes Juridiskā fakultāte, 2001); Vidējā izglītība (Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola, 1996)",Vienotība,Jaunā Vienotība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=094B636CDD3C074EC22583320029E5AD&url=./0/094B636CDD3C074EC22583320029E5AD?OpenDocument&lang=LV,Inese.Libina-Egnere@saeima.lv
"Ločmele, Regīna",Saskaņa,S,1966,Rīga,"Sociālo zinātņu maģistrs vadības zinātnē (Latvijas Universitāte, 2007); Starptautisko attiecību speciālists (Latvijas Universitāte, 1994); 	Žurnālists (Latvijas Universitāte, 1988); Vidējā izglītība (Rīgas 78. vidusskola, 1983)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=2BD9A2B7E700ABFBC22583320029E452&url=./0/2BD9A2B7E700ABFBC22583320029E452?OpenDocument&lang=LV,Regina.Locmele@saeima.lv
"Mārtuža, Eva",Jauno Konservatīvo frakcija,S,1954,"Cēsu novads, Vaives pagasts, Rīdzene","Teoloģijas un reliģiju zinātņu maģistra grāds (Latvijas Universitāte, 2013); Sociālo zinātņu maģistra grāds (Latvijas Universitāte, 1978)",Jaunā konservatīvā partija,Jaunā konservatīva partija,"Apstiprināta uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no Jaunās konservatīvās partijas Rīgas vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/74B107F24CD91730C22583320029E4A0?OpenDocument&lang=LV,Eva.Martuza@saeima.lv
"Medne, Linda",Jauno Konservatīvo frakcija,S,1968,Rīga,"Doktora zinātniskais grāds ekonomikā (LLU Ekonomikas fakultāte, 2010); Maģistra grāds ekonomikā (LU Ekonomikas fakultāte, Tautsaimniecības institūts, 2003); Sabiedriskās ēdināšanas inženieris - tehnologs (Latvijas Lauksaimniecības Akadēmija, Pārtikas Tehnoloģijas fakultāte, 1991)",Jaunā konservatīvā partija,Jaunā konservatīva partija,"Apstiprināta uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no Jaunās konservatīvās partijas Rīgas vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/86700E4BF79E6255C22583320029E4AE?OpenDocument&lang=LV,Linda.Medne@saeima.lv
"Možvillo, Māris",KPV LV,V,1967,"Alojas novads, Alojas pagasts","Vidējā izglītība (Alojas Ausekļa vidusskola, 1986)",Par cilvēcīgu Latviju,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/2EA91F52206F8252C22583320029E5D7?OpenDocument&lang=LV,Maris.Mozvillo@saeima.lv
"Muižniece, Anita",Jauno Konservatīvo frakcija,S,1987,"Ķekavas novads, Dzintari","Profesionālais bakalaura grāds pedagoģijā (Latvijas Universitāte, 2018); Uzņēmējdarbība, kvalifikācija - uzņēmējdarbības speciālists (Rīgas Starptautiskā ekonomikas un biznesa administrācijas augstskola, 2010)",Jaunā konservatīvā partija,Jaunā konservatīva partija,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/95B57DB3169F51F9C22583320029E58F?OpenDocument&lang=LV,Anita.Muizniece@saeima.lv
"Mūrniece, Inara",Nacionāla Apvienība VL-TB/LNNK,S,1970,Rīga,"Tulkotāja (Latvijas Universitāte, 2009); Profesionālais bakalaura grāds tulkošanā (Ekonomikas un Kultūras augstskola, 2007)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=E4E48A8CD239B960C22583320029E5CD&url=./0/E4E48A8CD239B960C22583320029E5CD?OpenDocument&lang=LV,Inara.Murniece@saeima.lv
"Naudiņš, Romāns",Nacionāla Apvienība VL-TB/LNNK,V,1980,Valmiera,"Izziņas dienesta specializācija (Latvijas Policijas akadēmija, Policijas koledža, 2001)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=566EF11833880FF9C22583320029E5BE&url=./0/566EF11833880FF9C22583320029E5BE?OpenDocument&lang=LV,Romans.Naudins@saeima.lv
"Nemiro, Ralfs",KPV LV,V,1981,Jūrmala,"Jurists, maģistrs (Latvijas Universitāte, 2009)",,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/A4475BEC6D8A6B68C22583320029E66C?OpenDocument&lang=LV,Ralfs.Nemiro@saeima.lv
"Nikonovs, Vladimirs",Saskaņa,V,1955,Rēzekne,"Maģistra grāds, inženieris-mehāniķis (Rīgas Politehniskais institūts, 1977); Vidējā izglītība (Rēzeknes 2. vidusskola, 1972)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=EEE9AB905648F5A7C22583320029E3D5&url=./0/EEE9AB905648F5A7C22583320029E3D5?OpenDocument&lang=LV,Vladimirs.Nikonovs@saeima.lv
"Orlovs, Vitālijs",Saskaņa,V,1964,Jēkabpils,"Neirologs (Latvijas Medicīnas akadēmija, 1993); Ārstniecības specialitāte (Latvijas Medicīnas akadēmija, 1991)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=49A0CE0E2C6CF037C22583320029E614&url=./0/49A0CE0E2C6CF037C22583320029E614?OpenDocument&lang=LV,Vitalijs.Orlovs@saeima.lv
"Papule, Evija",Pie frakcijām nepiederošie deputāti,S,1964,Rīga,"Skolvadība (Rīgas Pedagoģijas un izglītības vadības augstskola, 1997); Latviešu valodas un literatūras skolotāja, krievu valodas un literatūras skolotāja kvalifikācija ar tiesībām strādāt minoritāšu skolā (Latvijas Universitāte, 1988)",,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/9AE384DC3DF26240C22583320029E557?OpenDocument&lang=LV,Evija.Papule@saeima.lv
"Pimenovs, Igors",Saskaņa,V,1953,Rīga,"Ekonomists (otrā līmeņa profesionālā augstākā izglītība) (Latvijas Universitāte, 2007); Fiziķis (Latvijas Valsts universitāte, 1975)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=CE9D2E3A1EDC54F5C22583320029E460&url=./0/CE9D2E3A1EDC54F5C22583320029E460?OpenDocument&lang=LV,Igors.Pimenovs@saeima.lv
"Pūce, Juris",Attīstībai/Par!,V,1980,Rīga,"Sociālo zinātņu maģistrs vadības zinātnē (Latvijas Universitāte, 2005); Sociālo zinātņu maģistrs tiesību zinātnē, (Latvijas Universitāte, 2003)",Latvijas attīstībai,Attīstībai/Par!,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/A403365B1A9F0CCAC22583320029E377?OpenDocument&lang=LV,Juris.Puce@saeima.lv
"Pucens, Ēriks",KPV LV,V,1986,Kurmāles pagasts,"Pavārs (Kuldīgas 78. arodviduskola, 2006)",Par cilvēcīgu Latviju,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/4480DE193DF835A3C22583320029E3AF?OpenDocument&lang=LV,Eriks.Pucens@saeima.lv
"Puga, Ivars",KPV LV,V,1960,Rīga,"Kino un teātra aktieris (Latvijas Valsts Konservatorija, 1986)",Par cilvēcīgu Latviju,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/18FFD7EC6B29B919C22583320029E519?OpenDocument&lang=LV,Ivars.Puga@saeima.lv
"Rancāns, Juris",Jauno Konservatīvo frakcija,V,1977,"Rēzeknes novads, Stružāni","Maģistra grāds, Politikas zinātne (Latvijas Universitāte, 2014); Maģistra grāds, Jurists (Latvijas Policijas akadēmija, 2002)",Jaunā konservatīvā partija,Jaunā konservatīva partija,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/3B129165BC5C8268C22583320029E3F5?OpenDocument&lang=LV,Juris.Rancans@saeima.lv
"Ribakovs, Ivans",Saskaņa,V,1960,Rēzekne,"Matemātikas un fizikas skolotājs (Daugavpils Pedagoģiskais institūts, 1982); Vidējā izglītība (Zarasu internātskola, 1977)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=D7E5484DCB3482A3C22583320029E3D3&url=./0/D7E5484DCB3482A3C22583320029E3D3?OpenDocument&lang=LV,Ivans.Ribakovs@saeima.lv
"Rībena, Inguna",Pie frakcijām nepiederošie deputāti,S,1956,Rīga,"Arhitektūra (Rīgas Politehniskais institūts, 1980)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=5FDA3558612D689EC22583320029E65C&url=./0/5FDA3558612D689EC22583320029E65C?OpenDocument&lang=LV,Inguna.Ribena@saeima.lv
"Riekstiņš, Sandis",Jauno Konservatīvo frakcija,V,1979,Rīga,"Vidējā profesionālā izglītība (Rīgas Būvamatniecības vidusskola, 1999)",Jaunā konservatīvā partija,Jaunā konservatīva partija,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/238DAFFF1FD5EF77C22583320029E63A?OpenDocument&lang=LV,Sandis.Riekstins@saeima.lv
"Rubiks, Artūrs",Saskaņa,V,1970,Rīga,"Uzņēmējdarbības vadītājs (Baltijas Starptautiskā Akadēmija, 2014); Vidējā izglītība (Rīgas 21. vidusskola, 1987)",Latvijas sociālistiskā partija (LSP),Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=F765C39D54CF8FAAC22583320029E45F&url=./0/F765C39D54CF8FAAC22583320029E45F?OpenDocument&lang=LV,Arturs.Rubiks@saeima.lv
"Rukšāne-Ščipčinska, Dace",Attīstībai/Par!,S,1969,"Pārgaujas novads, Stalbes pagasts","Vispārējā (Rīgas 50. vidusskola, 1987)",Latvijas attīstībai,Attīstībai/Par!,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/AA7B91C34C669746C22583320029E571?OpenDocument&lang=LV,Dace.Ruksane@saeima.lv
"Skride, Andris",Attīstībai/Par!,V,1982,Rīga,"Zinātņu doktora grāds medicīnā (Rīgas Stradiņa universitāte, 2018); Ārsts kardiologs (Latvijas Universitāte, 2011); Ārsts internists (Latvijas Universitāte, 2009); Ārsts (Rīgas Stradiņa universitāte, 2006)",Politiskā partija Izaugsme,Attīstībai/Par!,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/53B4E4BA43BC85DDC22583320029E573?OpenDocument&lang=LV,Andris.Skride@saeima.lv
"Šmits, Didzis",Pie frakcijām nepiederošie deputāti,V,1975,Rīga,"Maģistra grāds starptautisko organizāciju diplomātijā (Parīzes 11. Universitāte, 2000); Politikas zinātnes bakalaura grāds starptautiskajās attiecībās (Latvijas Universitāte, 1998)",,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/B1EB56D4E58F2AA6C22583320029E514?OpenDocument&lang=LV,Didzis.Smits@saeima.lv
"Šnore, Edvīns",Nacionāla Apvienība VL-TB/LNNK,V,1974,Rīga,"Vēstures doktors (Latvijas Universitāte, 2013); Politikas zinātnes maģistrs starptautiskajās attiecībās (Latvijas Universitāte, 1998)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=F501B4C572534D28C22583320029E65D&url=./0/F501B4C572534D28C22583320029E65D?OpenDocument&lang=LV,Edvins.Snore@saeima.lv
"Sprūde, Karina",Pie frakcijām nepiederošie deputāti,S,1988,Ādaži,"Maģistra grāds muitas un nodokļu administrēšanā (Rīgas Tehniskā universitāte, 2013); Bakalaura grāds muitas un nodokļu administrēšanā, nodokļu ekonomista kvalifikācija (Rīgas Tehniskā universitāte, 2011)",Likums un kārtība,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/01FAA34AD99A6953C22583320029E5D6?OpenDocument&lang=LV,Karina.Sprude@saeima.lv
"Šteins, Mārtiņš",Attīstībai/Par!,V,1992,"Amatas novads, Nītaures pagasts","Sociālo zinātņu maģistra grāds vadībzinātnē (Latvijas Universitāte, 2016); Sociālo zinātņu bakalaura grāds tiesību zinātnē (Latvijas Universitāte, 2014)",Kustība Par!,Attīstībai/Par!,"Apstiprināts uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no partijas Attīstībai/Par! Vidzemes vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/96CFEDF18CAB9231C22583320029E566?OpenDocument&lang=LV,Martins.Smits@saeima.lv
"Stepaņenko, Jūlija",Pie frakcijām nepiederošie deputāti,S,1977,Rīga,"Tiesību zinātne (Latvijas Universitāte, 2001); Vidējā izglītība (Rīgas Centra humanitārā ģimnāzija, 1996)",Likums un kārtība,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=462575B6023E7DC7C22583320029E447&url=./0/462575B6023E7DC7C22583320029E447?OpenDocument&lang=LV,Julija.Stepanenko@saeima.lv
"Švecova, Ļubova",Pie frakcijām nepiederošie deputāti,S,1970,Rīga,"Sociālo zinātņu maģistra grāds ekonomikā (Latvijas Universitāte, 2004); Maģistra grāds tiesību zinātnēs (Latvijas Universitāte, 1995)",Likums un kārtība,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/736F9A5C98593FEAC22583320029E44D?OpenDocument&lang=LV,Lubova.Svecova@saeima.lv
"Tavars, Edgars",Zaļo un Zemnieku Savienība,V,1982,Rīga,"Maģistra grāds, Inovācijas ekonomikā (Banku augstskola, 2012); Bakalaura grāds ekonomikā, uzņēmumu un iestāžu vadītājs (Rīgas Pedagoģijas un izglītības vadības akadēmija, 2010)",Latvijas Zaļā partija,Zaļo un Zemnieku Savienība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/B292BDDBDD70A1EDC22583320029E53E?OpenDocument&lang=LV,Edgars.Tavars@saeima.lv
"Teirumnieks, Edmunds",Nacionāla Apvienība VL-TB/LNNK,V,1977,Rēzekne,"Inženierzinātņu doktors ķīmijas inženierzinātnē (Rīgas Tehniskā universitāte, 2007); Inženierzinātņu maģistrs ķīmijā (Rīgas Tehniskā universitāte, 2003); Bakalaurs vides zinātnēs (Rēzeknes Augstskola, 2000)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/E85287524F84DE45C22583320029E417?OpenDocument&lang=LV,Edmunds.Teirumnieks@saeima.lv
"Tērauda, Vita Anda",Attīstībai/Par!,S,1962,Rīga,"Maģistra grāds, Starptautiskā ekonomika un PSRS politika (Džons Hopkins Universitāte, 1990); Bakalaura grāds, Starptautiskās attiecības (Amerikas Universitāte, 1983)",Kustība Par!,Attīstībai/Par!,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/F928C23B8A9B4811C22583320029E483?OpenDocument&lang=LV,Vita.Anda.Terauda@saeima.lv
"Tutins, Jānis",Saskaņa,V,1966,Rēzekne,"Bakalaura grāds biznesa administrācijā (Ņūportas Starptautiskā Universitāte, 2006); Feldšeris (Rīgas 4. medicīnas skola, 1985)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=B95E73AE3D8BBE20C22583320029E3D4&url=./0/B95E73AE3D8BBE20C22583320029E3D4?OpenDocument&lang=LV,Janis.Tutins@saeima.lv
"Urbanovičs, Jānis",Saskaņa,V,1959,"Rēzeknes novads, Verēmu pagasts","Inženieris - hidrotehniķis (Maģistra grāds) (Latvijas Lauksaimniecības akadēmija, 1982)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=C7A852119E61AFD9C22583320029E45C&url=./0/C7A852119E61AFD9C22583320029E45C?OpenDocument&lang=LV,Janis.Urbanovics@saeima.lv
"Valainis, Viktors",Zaļo un Zemnieku Savienība,V,1986,Jelgava,"Profesionālais maģistra grāds, būvuzņēmējdarbībā un nekustamā īpašuma vadībā (Rīgas Tehniskā universitāte, 2011); Profesionālais bakalaura grāds nekustamā īpašuma pārvaldībā un nekustamā īpašuma ekonomista kvalifikācija (Rīgas Tehniskā universitāte, 2009); Vispārējā (Jelgavas Valsts ģimnāzija, 2005)",Latvijas Zemnieku savienība,Zaļo un Zemnieku Savienība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=37EF19346F1C2181C22583320029E67A&url=./0/37EF19346F1C2181C22583320029E67A?OpenDocument&lang=LV,Viktors.Valainis@saeima.lv
"Voika, Inese",Attīstībai/Par!,S,1970,Rīga,"Maģistrs sabiedrības vadībā ar specializāciju līderībā (Hārvarda Universitāte, 2005); Sociālo zinātņu bakalaurs komunikācijas zinātnē (Latvijas Universitāte, 2005)",Kustība Par!,Attīstībai/Par!,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/150F9D41CC7E2D61C22583320029E489?OpenDocument&lang=LV,Inese.Voika@saeima.lv
"Vucāns, Jānis",Zaļo un Zemnieku Savienība,V,1956,Ventspils,"Matemātikas doktors (Latvijas Universitāte, 1992); Fizikas un matemātikas zinātņu kandidāts matemātiskās fizikas un parciālo diferenciālvienādojumu specialitātē (Baltkrievijas Valsts universitāte, 1988); Pielietojamā matemātika (Latvijas Valsts universitāte, 1979); Vispārējā vidējā izglītība ar fizikas un matemātikas novirzienu (Rīgas 1.vidusskola, 1974)",Latvijai un Ventspilij,Zaļo un Zemnieku Savienība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=7BCC4D87791624FEC22583320029E3C7&url=./0/7BCC4D87791624FEC22583320029E3C7?OpenDocument&lang=LV,Janis.Vucans@saeima.lv
"Zakatistovs, Atis",Pie frakcijām nepiederošie deputāti,V,1968,"Krimuldas novads, Turaida","Doktora grāds filozofijā (Otavas Universitāte, 2001); Maģistra grāds filozofijā (Otavas Universitāte, 1996); Filozofs, pasniedzējs (Latvijas Universitāte, 1992)",,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/8575F5AE8C80DFC5C22583320029E3AE?OpenDocument&lang=LV,Atis.Zakatistovs@saeima.lv
"Zālīte-Grosa, Evita",Jauno Konservatīvo frakcija,S,1969,Rīga,"Maģistra grāds, Vokālā māksla (Jāzepa Vītola Latvijas Mūzikas akadēmija, 2005)",Jaunā konservatīvā partija,Jaunā konservatīva partija,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/4AE72FE4EFB93EB6C22583320029E597?OpenDocument&lang=LV,Evita.Zalite-Grosa@saeima.lv
"Zamurs, Gatis",Attīstībai/Par!,V,1983,Jūrmala,"Maģistra grāds, Biznesa vadība (MBA) (Rīgas Tehniskā universitāte, 2013); Bakalaura grāds, Starpkultūru sakari Latvija-Francija (Latvijas Kultūras akadēmija, 2006)",Latvijas attīstībai,Attīstībai/Par!,"Apstiprināts uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no partijas Attīstībai/Par! Rīgas vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/DE2357B3FF7F0799C22583320029E469?OpenDocument&lang=LV,Gatis.Zamurs@saeima.lv
"Zariņš, Ivars",Saskaņa,V,1969,Jēkabpils,"Ekonomiskās informātikas un automatizēto vadības sistēmu specialitāte (Latvijas Universitāte, 1993)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=40EED6C265D34A1AC22583320029E613&url=./0/40EED6C265D34A1AC22583320029E613?OpenDocument&lang=LV,Ivars.Zarins@saeima.lv
"Znotiņš, Reinis",Jauno Konservatīvo frakcija,V,1992,Rīga,"Sociālo zinātņu bakalaura grāds tiesībās un biznesā (Rīgas Juridiskā augstskola, 2014)",Jaunā konservatīvā partija,Jaunā konservatīva partija,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/4E9398F052AF5F04C22583320029E4B1?OpenDocument&lang=LV,Reinis.Znotins@saeima.lv
"Žunna, Normunds",Jauno Konservatīvo frakcija,V,1962,Rīga,"Bakalaura grāds, Muitas vadība un nodokļi (Rīgas Tehniskā universitāte SESMI, 1998)",Jaunā konservatīvā partija,Jaunā konservatīva partija,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/6A8C26108D145E37C22583320029E59A?OpenDocument&lang=LV,Normunds.Zunna@saeima.lv
